,Filename,Red-Green Overlap,Sample or Control,Tissue
0,Human/Ferret Lung/HH3_fer_Lung2_100814_1.tif,399921.0,Human/Ferret Lung/HH3,Human Lung
1,Human/Ferret Lung/HH3_fer_Lung2_100814_10.tif,298195.0,Human/Ferret Lung/HH3,Human Lung
2,Human/Ferret Lung/HH3_fer_Lung2_100814_2.tif,367010.0,Human/Ferret Lung/HH3,Human Lung
3,Human/Ferret Lung/HH3_fer_Lung2_100814_3.tif,277030.0,Human/Ferret Lung/HH3,Human Lung
4,Human/Ferret Lung/HH3_fer_Lung2_100814_4.tif,270130.0,Human/Ferret Lung/HH3,Human Lung
5,Human/Ferret Lung/HH3_fer_Lung2_100814_5.tif,345387.0,Human/Ferret Lung/HH3,Human Lung
6,Human/Ferret Lung/HH3_fer_Lung2_100814_6.tif,307004.0,Human/Ferret Lung/HH3,Human Lung
7,Human/Ferret Lung/HH3_fer_Lung2_100814_7.tif,261862.0,Human/Ferret Lung/HH3,Human Lung
8,Human/Ferret Lung/HH3_fer_Lung2_100814_8.tif,409405.0,Human/Ferret Lung/HH3,Human Lung
9,Human/Ferret Lung/HH3_fer_Lung2_100814_9.tif,316520.0,Human/Ferret Lung/HH3,Human Lung
10,Negative/Ferret Lung/Neg_fer_Lung2_100814_1.tif,38695.0,Negative/Ferret Lung/Neg,Human Lung
11,Negative/Ferret Lung/Neg_fer_Lung2_100814_10.tif,13541.0,Negative/Ferret Lung/Neg,Human Lung
12,Negative/Ferret Lung/Neg_fer_Lung2_100814_11.tif,25997.0,Negative/Ferret Lung/Neg,Human Lung
13,Negative/Ferret Lung/Neg_fer_Lung2_100814_12.tif,38702.0,Negative/Ferret Lung/Neg,Human Lung
14,Negative/Ferret Lung/Neg_fer_Lung2_100814_3.tif,24637.0,Negative/Ferret Lung/Neg,Human Lung
15,Negative/Ferret Lung/Neg_fer_Lung2_100814_4.tif,28350.0,Negative/Ferret Lung/Neg,Human Lung
16,Negative/Ferret Lung/Neg_fer_Lung2_100814_5.tif,29588.0,Negative/Ferret Lung/Neg,Human Lung
17,Negative/Ferret Lung/Neg_fer_Lung2_100814_6.tif,17959.0,Negative/Ferret Lung/Neg,Human Lung
18,Negative/Ferret Lung/Neg_fer_Lung2_100814_8.tif,13988.0,Negative/Ferret Lung/Neg,Human Lung
19,Negative/Ferret Lung/Neg_fer_Lung2_100814_9.tif,31250.0,Negative/Ferret Lung/Neg,Human Lung
20,Seal/Ferret Lung/SH3_fer_Lung2_100814_11.tif,218614.0,Seal/Ferret Lung/SH3,Human Lung
21,Seal/Ferret Lung/SH3_fer_Lung2_100814_12.tif,183187.0,Seal/Ferret Lung/SH3,Human Lung
22,Seal/Ferret Lung/SH3_fer_Lung2_100814_13.tif,257694.0,Seal/Ferret Lung/SH3,Human Lung
23,Seal/Ferret Lung/SH3_fer_Lung2_100814_15.tif,185846.0,Seal/Ferret Lung/SH3,Human Lung
24,Seal/Ferret Lung/SH3_fer_Lung2_100814_16.tif,170770.0,Seal/Ferret Lung/SH3,Human Lung
25,Seal/Ferret Lung/SH3_fer_Lung2_100814_17.tif,216283.0,Seal/Ferret Lung/SH3,Human Lung
26,Seal/Ferret Lung/SH3_fer_Lung2_100814_18.tif,349301.0,Seal/Ferret Lung/SH3,Human Lung
27,Seal/Ferret Lung/SH3_fer_Lung2_100814_19.tif,313466.0,Seal/Ferret Lung/SH3,Human Lung
28,Seal/Ferret Lung/SH3_fer_Lung2_100814_5.tif,200185.0,Seal/Ferret Lung/SH3,Human Lung
29,Seal/Ferret Lung/SH3_fer_Lung2_100814_9.tif,218574.0,Seal/Ferret Lung/SH3,Human Lung
